
75 (False) KTcs(종가:2355) 185060076281 - 135584832057 > 100523175000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
76 (False) KTis(종가:2885) 150142699950 - 135845059213 > 100403770000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
77 (False) KT서브마린(종가:5430) 83230382999 - 22114194087 > 118917000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
78 (False) LF(종가:14600) 749928723645 - 450992868106 > 426904000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
79 (False) LG(종가:102000) 1883553000000 - 393416000000 > 17600827362000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
80 (False) LG디스플레이(종가:20650) 6949608000000 - 16624125000000 > 7388894205000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
81 (False) LG상사(종가:25450) 931031122040 - 1389073523412 > 986442000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
82 (False) LG생활건강(종가:1539000) 964282106329 - 767709433624 > 24036405183000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
83 (False) LG유플러스(종가:11950) 5580383000000 - 10403857000000 > 5217505763950 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
84 (False) LG이노텍(종가:182000) 2664284641362 - 3612957509175 > 4307413474000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
85 (False) LG전자(종가:139000) 10456580000000 - 20115829000000 > 22747046146000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
86 (False) LG하우시스(종가:74900) 865564000000 - 1251746000000 > 671678483000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
87 (False) LG헬로비전(종가:4745) 358857809738 - 812987462360 > 367485374425 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
88 (False) LG화학(종가:964000) 8930816000000 - 12489739000000 > 68051018652000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
89 (False) LIG넥스원(종가:34100) 1698781575500 - 1990995010005 > 750200000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
90 (False) LS(종가:70400) 173712000000 - 305608000000 > 2266880000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
91 (False) LS네트웍스(종가:2580) 240921420843 - 685074395454 > 203311781280 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
92 (False) LS전선아시아(종가:7530) 32733821579 - 12699398144 > 230605338870 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
93 (False) MH에탄올(종가:7900) 19307623315 - 40695657259 > 58290355400 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
94 (False) MP그룹(종가:1070) 8174364513 - 33541329255 > 133146492180 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
95 (False) MP한강(종가:1320) 21125571044 - 8674828859 > 85268038680 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
96 (False) NAVER(종가:300500) 1685605993665 - 1270951956273 > 49361150197500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
97 (False) NEW(종가:8000) 78586940625 - 91944152081 > 223248848000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
98 (False) NE능률(종가:2855) 57801808933 - 24630567171 > 47182606485 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
99 (False) NHN벅스(종가:5230) 61086325351 - 23514873256 > 77548086500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
100 (False) NHN한국사이버결제(종가:64100) 276229794794 - 204856083963 > 1472466291300 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
101 (False) NICE(종가:18100) 14104931993 - 159597714672 > 685669630000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
102 (False) NICE평가정보(종가:22950) 165530065723 - 94557541322 > 1393405119000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
103 (False) NI스틸(종가:3235) 53638029374 - 156000703843 > 92521378495 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
104 (False) OCI(종가:98500) 804164433000 - 1072092652000 > 2349163043500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
105 (False) OQP(종가:5420) 214073130003 - 183772989816 > 426687532540 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
106 (False) PI첨단소재(종가:41450) 147682641733 - 133888535909 > 1217234046900 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
107 (False) PN풍년(종가:4280) 31080379780 - 10362750781 > 42800000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
108 (False) RFHIC(종가:47000) 189159605279 - 70772626919 > 1120838140000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
109 (False) S&K폴리텍(종가:5080) 36213147685 - 34643820456 > 59454902680 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
110 (False) S&TC(종가:15350) 227198238735 - 112391473338 > 115228013850 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
111 (False) S&T모티브(종가:54200) 651482631367 - 335006099687 > 792573971200 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
112 (False) S&T중공업(종가:6040) 385782636833 - 224356918476 > 200846289880 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
113 (False) S&T홀딩스(종가:15300) 26239863971 - 287599093 > 249449455800 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
114 (False) S-Oil(종가:72300) 5290201000000 - 10529073000000 > 8139735861600 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
115 (False) SBS(종가:25000) 430367430887 - 567418018375 > 456314550000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
116 (False) SBS미디어홀딩스(종가:1860) 30040359696 - 2914867039 > 260206913400 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
117 (False) SBS콘텐츠허브(종가:6320) 143339780679 - 38386033880 > 135649667600 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
118 (False) SCI평가정보(종가:3990) 20374212959 - 7143959480 > 141645000000 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
119 (False) SDN(종가:3765) 64388702836 - 62617454361 > 181392858210 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
120 (False) SFA반도체(종가:5500) 119290365473 - 220468777364 > 904531666500 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
121 (False) SG(종가:2110) 107272358922 - 160652835746 > 77479256970 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
122 (False) SG&G(종가:3280) 19626929085 - 53285209696 > 111806002880 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
123 (False) SGA(종가:859) 31898534582 - 29891253784 > 41929721891 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
124 (False) SGA솔루션즈(종가:1020) 13070506815 - 15588962341 > 37409553660 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
125 (False) SG세계물산(종가:714) 111118039453 - 68287979518 > 144531421440 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
126 (False) SG충방(종가:2625) 48762059778 - 63434815958 > 118030875375 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
127 (False) SH에너지화학(종가:934) 65228779782 - 26842147374 > 103798903820 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
128 (False) SIMPAC(종가:2755) 230981039436 - 180270599446 > 180258316580 * 1 ?(DIV:None, BPS: None, PER: None, EPS: None, PBR: None)
